らち	ɾ a̠ t͡ɕ i
かおだし	k a̠ o̞ d a̠ ɕ i
ぶたくさ	b ɯ̟ᵝ t a̠ k ɯ̟̊ᵝ s a̠
いいたてる	iː t a̠ t e̞ ɾ ɯ̟ᵝ
どんより	d õ̞ ɰ̃ j o̞ ɾʲ i
ぶきじゅつ	b ɯᵝ k i d͡ʑ ɯᵝ t͡s ɯᵝ
ケルベルス	k e̞ ɾ ɯ̟ᵝ b e̞ ɾ ɯ̟ᵝ s ɨᵝ
ひざ	ç i z a̠
ソーダ	s o̞ː d a̠
とうじ	t o̞ː ʑ i
ちこく	t͡ɕ i k o̞ k ɯ̟̊ᵝ
そだつ	s o̞ d a̠ t͡s ɨᵝ
きんていやくせいしょ	kʲ ĩ n t e̞ː j a̠ k ɯ̟ᵝ ̥ s e̞ː ɕ o̞
つかう	t͡s ɨ̥ᵝ k a̠ ɯ̟ᵝ
それっぽく	s o̞ ɾ e̞ p̚ p o̞ k ɯ̟ᵝ
おたがい	o̞ t a̠ ɡ a̠ i
ピッツァ	pʲ i̥ t̚ t͡s a̠
チュニス	t͡ɕ ɨᵝ ɲ̟ i s ɨᵝ
りかん	ɾʲ i k ã̠ ɴ
したしい	ɕ i t a̠ ɕ i i
さや	s a̠ j a̠
きこん	kʲ i k õ̞ ɴ
ごんどうくじら	ɡ õ̞ n d o̞ː k ɯ̟ᵝ ʑ i ɾ a̠
いしばしをたたいてこわす	i ɕ i b a̠ ɕ i o̞ t a̠ t a̠ i t e̞ k o̞ ɰᵝ a̠ s ɨᵝ
カメオ	k a̠ m e̞ o̞
どりょうこう	d o̞ ɾʲ o̞ː k o̞ː
ファザコン	ɸ a̠ z a̠ k õ̞ ɴ
おやすみなさい	o̞ j a̠ s ɨᵝ mʲ i n a̠ s a̠ i
けびいし	k e̞ bʲ iː ɕ i
ハクション	h a̠ k ɯ̟̊ᵝ ɕ õ̞ ɴ
うらやむ	ɯ̟ᵝ ɾ a̠ j a̠ m ɯ̟ᵝ
ぞうあざらし	d͡z o̞ː a̠ z a̠ ɾ a̠ ɕ i
くずす	k ɯ̟ᵝ z ɨᵝ s ɨᵝ
いちがつ	i t͡ɕ i ɡ a̠ t͡s ɨᵝ
カリスマ	k a̠ ɾʲ i s ɨᵝ m a̠
びていこつ	bʲ i t e̞ː k o̞ t͡s ɨᵝ
ラグーン	ɾ a̠ ɡ ɯ̟̃ᵝː ɴ
カレンダー	k a̠ ɾ ẽ̞ n d a̠ː
けいかん	k e̞ː k ã̠ ɴ
ふうりょく	ɸ ɯ̟ᵝː ɾʲ o̞ k ɯ̟ᵝ
オニウム	o̞ ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
ヒーロー	ç iː ɾ o̞ː
ゆうしょく	j ɯ̟ᵝː ɕ o̞ k ɯ̟ᵝ
にくしょくせい	ɲ̟ i k ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ s e̞ː
さっぱり	s a̠ p̚ p a̠ ɾʲ i
おとしあな	o̞ t o̞ ɕ i a̠ n a̠
まっさいちゅう	m a̠ sː a̠ i t͡ɕ ɨᵝː
がいらいご	ɡ a̠ i ɾ a̠ i ɡ o̞
ひめい	ç i m e̞ː
おかしい	o̞ k a̠ ɕ iː
エー	e̞ː
りせいてき	ɾʲ i s e̞ː t e̞ kʲ i
あめんぼ	a̠ m ẽ̞ m b o̞
しがん	ɕ i ɡ ã̠ ɴ
でんそく	d ẽ̞ ɰ̃ s o̞ k ɯ̟ᵝ
ブリーフ	b ɯ̟ᵝ ɾʲ iː ɸ ɯ̟ᵝ
ぐんようき	ɡ ɯ̟̃ᵝ ɰ̃ j o̞ː kʲ i
ウエイター	ɯ̟ᵝ e̞ː t a̠ː
もじばけ	m o̞ ʑ i b a̠ k e̞
くちばし	k ɯ̟̊ᵝ t͡ɕ i b a̠ ɕ i
えんてい	ẽ̞ n t e̞ː
らっこ	ɾ a̠ k̚ k o̞
あとのまつり	a̠ t o̞ n o̞ m a̠ t͡s ɨᵝ ɾʲ i
しょうひきげん	ɕ o̞ː ç i kʲ i ɡ ẽ̞ ɴ
サイベリアン	s a̠ i b e̞ ɾʲ i ã̠ ɴ
さくさんけんし	s a̠ k ɯ̟ᵝ s ã̠ ŋ k ẽ̞ ɰ̃ ɕ i
ごだいみょうおう	ɡ o̞ d a̠ i mʲ o̞ː o̞ː
せいおん	s e̞ː õ̞ ɴ
にくしみ	ɲ̟ i k ɯ̟ᵝ ɕ i mʲ i
かいあく	k a̠ i a̠ k ɯ̟ᵝ
し	ɕ i
にゅうがん	ɲ̟ ɯ̟ᵝː ɡ ã̠ ɴ
まさよし	m a̠ s a̠ j o̞ ɕ i
ぼくめつ	b o̞ k ɯ̟ᵝ m e̞ t͡s ɨᵝ
コーンビーフ	k õ̞ː m bʲ iː ɸ ɯ̟̊ᵝ
しんしゃく	ɕ ĩ ɰ̃ ɕ a̠ k ɯ̟ᵝ
つうやくしゃ	t͡s ɯᵝː j a̠ k ɯᵝ ɕʲ a̠
まながつお	m a̠ n a̠ ɡ a̠ t͡s ɨᵝ o̞
わかやま	ɰᵝ a̠ k a̠ j a̠ m a̠
こころみ	k o̞ k o̞ ɾ o̞ mʲ i
タシケント	t a̠ ɕ i k ẽ̞ n t o̞
あおじろい	a̠ o̞ ʑ i ɾ o̞ i
テグ	t e̞ ɡ ɯ̟ᵝ
ビーエル	bʲ iː e̞ ɾ ɯ̟ᵝ
げんしゅつ	ɡ ẽ̞ ɰ̃ ɕ ɨᵝ t͡s ɨᵝ
こもる	k o̞ m o̞ ɾ ɯ̟ᵝ
チーズケーキ	t͡ɕ iː z ɨᵝ k e̞ː kʲ i
だいろっかん	d a̠ i ɾ o̞ k̚ k ã̠ ɴ
カキツバタ	k a̠ kʲ i t͡s ɨᵝ b a̠ t a̠
ひさびさ	ç i s a̠ bʲ i s a̠
はくぎん	h a̠ k ɯ̟ᵝ ɡʲ ĩ ɴ
ルージュ	ɾ ɯ̟ᵝː ʑ ɨᵝ
ばんみんほう	b ã̠ mʲː ĩ ɰ̃ h o̞ː
いったい	i t̚ t a̠ i
おさか	o̞ s a̠ k a̠
なんすい	n ã̠ ɰ̃ s ɨᵝ i
あうん	a̠ ɯ̟̃ᵝ ɴ
にほんりょうり	ɲ̟ i h õ̞ n ɾʲ o̞ː ɾʲ i
ぼくり	b o̞ k ɯ̟ᵝ ɾʲ i
ほっこり	h o̞ k̚ k o̞ ɾʲ i
おどる	o̞ d o̞ ɾ ɯ̟ᵝ
ばくはつ	b a̠ k ɯ̟̊ᵝ h a̠ t͡s ɨᵝ
とけいこうじ	t o̞ k e̞ː k o̞ː ʑ i
さお	s a̠ o̞
おおじしん	o̞ː ʑ i ɕ ĩ ɴ
でじま	d e̞ ʑ i m a̠
とりけし	t o̞ ɾʲ i k e̞ ɕ i
トランポリン	t o̞ ɾ ã̠ m p o̞ ɾʲ ĩ ɴ
ちんぷんかん	t͡ɕ ĩ m p ɯ̟̃ᵝ ŋ k ã̠ ɴ
ざんけつ	d͡z ã̠ ŋ k e̞ t͡s ɨᵝ
よんきょくかん	j õ̞ ŋʲ kʲ o̞ k ɯ̟̊ᵝ k ã̠ ɴ
チャ	t͡ɕ a̠
なんべい	n ã̠ m b e̞ː
バリニーズ	b a̠ ɾʲ i ɲ̟ iː z ɨᵝ
セロ	s e̞ ɾ o̞
こうせつ	k o̞ː s e̞ t͡s ɨᵝ
しんど	ɕ ĩ n d o̞
むすめ	m ɯ̟ᵝ s ɨᵝ m e̞
げっけいこんなんしょう	ɡ e̞ k̚ k e̞ː k õ̞ nː ã̠ ɰ̃ ɕ o̞ː
はと	h a̠ t o̞
きが	kʲ i ɡ a̠
ひだりきき	ç i d a̠ ɾʲ i kʲ i kʲ i
かいよう	k a̠ i j o̞ː
ソンブレロ	s õ̞ m b ɯ̟ᵝ ɾ e̞ ɾ o̞
ダブルピース	d a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ pʲ iː s ɨᵝ
もくさつ	m o̞ k ɯ̟̊ᵝ s a̠ t͡s ɨᵝ
とまつ	t o̞ m a̠ t͡s ɨᵝ
いちはやく	i t͡ɕ i h a̠ j a̠ k ɯ̟ᵝ
エスケープ	e̞ s ɨᵝ k e̞ː p ɯ̟ᵝ
エスエヌエス	e̞ s ɨᵝ e̞ n ɯ̟ᵝ e̞ s ɨᵝ
なんでやねん	n ã̠ n d e̞ j a̠ n ẽ̞ ɴ
かんらんせき	k ã̠ n ɾ ã̠ ɰ̃ s e̞ kʲ i
へちま	h e̞ t͡ɕ i m a̠
ぶんしょう	b ɯ̟̃ᵝ ɰ̃ ɕ o̞ː
そしな	s o̞ ɕ i n a̠
がろう	ɡ a̠ ɾ o̞ː
にじょうき	ɲ̟ i ʑ o̞ː kʲ i
エフ	e̞ ɸ ɯ̟ᵝ
せぞく	s e̞ z o̞ k ɯ̟ᵝ
クラリネット	k ɯ̟ᵝ ɾ a̠ ɾʲ i n e̞ t̚ t o̞
ばびしょう	b a̠ bʲ i ɕ o̞ː
ゴルフバッグ	ɡ o̞ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ b a̠ ɡ̚ ɡ̊ ɯ̟ᵝ
セルロイド	s e̞ ɾ ɯ̟ᵝ ɾ o̞ i d o̞
モペッド	m o̞ p e̞ d̚ d̥ o̞
なりひびく	n a̠ ɾʲ i ç i bʲ i k ɯ̟ᵝ
れんたいし	ɾ ẽ̞ n t a̠ i ɕ i
とうしば	t o̞ː ɕ i b a̠
まちのぞむ	m a̠ t͡ɕ i n o̞ z o̞ m ɯ̟ᵝ
マンドリル	m ã̠ n d o̞ ɾʲ i ɾ ɯ̟ᵝ
ふうじん	ɸ ɯ̟ᵝː ʑ ĩ ɴ
はかまいり	h a̠ k a̠ m a̠ i ɾʲ i
げた	ɡ e̞ t a̠
ブーツ	b ɯ̟ᵝː t͡s ɨᵝ
ちせい	t͡ɕ i̥ s e̞ː
らいけん	ɾ a̠ i k ẽ̞ ɴ
ぞくぞく	d͡z o̞ k ɯ̟ᵝ z o̞ k ɯ̟ᵝ
ごうりゃくがな	ɡ o̞ː ɾʲ a̠ k ɯ̟ᵝ ɡ a̠ n a̠
スプレー	s ɨ̥ᵝ p ɯ̟ᵝ ɾ e̞ː
けんびきょうざ	k ẽ̞ m bʲ i kʲ o̞ː z a̠
こうのとり	k o̞ː n o̞ t o̞ ɾʲ i
じやき	d ʑ i j a k i
とんじ	t õ̞ ɲ̟ d͡ʑ i
ほうがい	h o̞ː ɡ a̠ i
なかいま	n a̠ k a̠ i m a̠
いっぱんそうたいせいりろん	i p̚ p ã̠ ɰ̃ s o̞ː t a̠ i s e̞ː ɾʲ i ɾ õ̞ ɴ
のむ	n o̞ m ɯ̟ᵝ
こうりょうしゅ	k o̞ː ɾʲ o̞ː ɕ ɨᵝ
せんぷうき	s ẽ̞ m p ɯ̟ᵝː kʲ i
たてあみ	t a̠ t e̞ a̠ mʲ i
たつやま	t a̠ t͡s ɨᵝ j a̠ m a̠
エックスジェンダー	e̞ k̚ k ɯ̟ᵝ s ɨᵝ ʑ ẽ̞ n d a̠ː
ほうたい	h o̞ː t a̠ i
はらきり	h a̠ ɾ a̠ kʲ i ɾʲ i
げきあい	ɡ e̞ kʲ i a̠ i
ぜんしんぜんれい	d͡z ẽ̞ ɰ̃ ɕ ĩ n d͡z ẽ̞ n ɾ e̞ː
じょうしょ	d͡ʑ o̞ː ɕ o̞
いみろん	i mʲ i ɾ õ̞ ɴ
じはい	d͡ʑ i h a̠ i
ドーパミン	d o̞ː p a̠ mʲ ĩ ɴ
ぼや	b o̞ j a̠
けんもほろろ	k ẽ̞ mː o̞ h o̞ ɾ o̞ ɾ o̞
ライン	ɾ a̠ ĩ ɴ
のりもの	n o̞ ɾʲ i m o̞ n o̞
いっきょいちどう	i k̚ʲ kʲ o̞ i t͡ɕ i d o̞ː
モス	m o̞ s ɨᵝ
こうもうじん	k o̞ː m o̞ː ʑ ĩ ɴ
ぐんばい	ɡ ɯ̟̃ᵝ m b a̠ i
しんにん	ɕ ĩ ɲ̟ ɲ̟ ĩ ɴ
おはまるすいさん	o̞ h a̠ m a̠ ɾ ɯ̟ᵝ s ɨᵝ i s ã̠ ɴ
てんしょう	t ẽ̞ ɰ̃ ɕ o̞ː
ピコピコ	pʲ i k o̞ pʲ i k o̞
じょろ	d͡ʑ o̞ ɾ o̞
ひらめき	ç i ɾ a̠ m e̞ kʲ i
あまみや	a̠ m a̠ mʲ i j a̠
だるい	d a̠ ɾ ɯ̟ᵝ i
でさききかん	d e̞ s a̠ kʲ i kʲ i k ã̠ ɴ
さかき	s a̠ k a̠ kʲ i
たもと	t a̠ m o̞ t o̞
メビバイト	m e̞ bʲ i b a̠ i t o̞
つぐなう	t͡s ɨᵝ ɡ ɯ̟ᵝ n a̠ ɯ̟ᵝ
であう	d e̞ a̠ ɯ̟ᵝ
む	ɾ o̞ k ɯ̟ᵝ
とうそつ	t o̞ː s o̞ t͡s ɨᵝ
ししゃすう	ɕ i ɕ a̠ s ɨᵝː
ユーフォニウム	j ɯ̟ᵝː ɸ o̞ ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
べし	b e̞ ɕ i
ノルウェー	n o̞ ɾ ɯ̟ᵝ ɰᵝ e̞ː
さきゅう	s a̠ kʲ ɨᵝː
はなぐま	h a̠ n a̠ ɡ ɯ̟ᵝ m a̠
アマヌンシス	a̠ m a̠ n ɯ̟̃ᵝ ɰ̃ ɕ i s ɨᵝ
じゅうばこよみ	d͡ʑ ɨᵝː b a̠ k o̞ j o̞ mʲ i
べんじょめし	b ẽ̞ ɲ̟ d͡ʑ o̞ m e̞ ɕ i
つんぼさじき	t͡s ɨ̃ᵝ m b o̞ s a̠ ʑ i kʲ i
マンティーカ	m ã̠ n tʲ iː k a̠
しばいごや	ɕ i b a̠ i ɡ o̞ j a̠
ずのう	d͡z ɨᵝ n o̞ː
あさんかちっそ	a̠ s ã̠ ŋ k a̠ t͡ɕ i sː o̞
かたむく	k a̠ t a̠ b ɯ̟ᵝ k ɯ̟ᵝ
こくはつしゃ	k o̞ k ɯ̟ᵝ h a̠ t͡s ɨᵝ ɕ a̠
チリアンシーバス	t͡ɕ i ɾʲ i ã̠ ɰ̃ ɕ iː b a̠ s ɨᵝ
わる	ɰᵝ a̠ ɾ ɯ̟ᵝ
えんぺい	ẽ̞ m p e̞ː
モンロビア	m õ̞ n ɾ o̞ bʲ i a̠
モーツァルト	m o̞ː t͡s a̠ ɾ ɯ̟ᵝ t o̞
ゆうえんち	j ɯ̟ᵝː ẽ̞ ɲ̟ t͡ɕ i
めいれい	m e̞ː ɾ e̞ː
ヲ	ɰᵝ o̞
じげん	d͡ʑ i ɡ ẽ̞ ɴ
びりょ	bʲ i ɾʲ o̞
トロンボーン	t o̞ ɾ õ̞ m b õ̞ː ɴ
ふみはずす	ɸ ɯ̟ᵝ mʲ i h a̠ z ɨᵝ s ɨᵝ
くない	k ɯ̟ᵝ n a̠ i
うめく	ɯ̟ᵝ m e̞ k ɯ̟ᵝ
うなずく	ɯ̟ᵝ n a̠ z ɨᵝ k ɯ̟ᵝ
せんりひん	s ẽ̞ n ɾʲ i ç ĩ ɴ
ブッキー	b ɯ̟ᵝ k̚ʲ kʲ iː
せいとう	s e̞ː t o̞ː
こしんとう	k o̞ ɕ ĩ n t o̞ː
きんがん	kʲ ĩ ŋ ɡ ã̠ ɴ
はやく	h a̠ j a̠ k ɯ̟ᵝ
カモフラージュ	k a̠ m o̞ ɸ ɯ̟ᵝ ɾ a̠ː ʑ ɨᵝ
シミュレーションゲーム	ɕ i mʲ ɨᵝ ɾ e̞ː ɕ õ̞ ŋ ɡ e̞ː m ɯ̟ᵝ
ボー	b o̞ː
わしづかみ	ɰᵝ a̠ ɕ i z ɨᵝ k a̠ mʲ i
たちいる	t a̠ t͡ɕ iː ɾ ɯ̟ᵝ
しゃこうてき	ɕ a̠ k o̞ː t e̞ kʲ i
みうら	mʲ i ɯ̟ᵝ ɾ a̠
おろかしい	o̞ ɾ o̞ k a̠ ɕ iː
スポンサー	s ɨᵝ p õ̞ ɰ̃ s a̠ː
なまぐさい	n a̠ m a̠ ɡ ɯ̟ᵝ s a̠ i
ぜったいち	d͡z e̞ t̚ t a̠ i t͡ɕ i
べつに	b e̞ t͡s ɨᵝ ɲ̟ i
かるさん	k a̠ ɾ ɯ̟ᵝ s ã̠ ɴ
ていてつ	t e̞ː t e̞ t͡s ɨᵝ
ひこ	ç i k o̞
いっぽずつ	i p̚ p o̞ d͡z ɨᵝ t͡s ɨᵝ
シャーベット	ɕ a̠ː b e̞ t̚ t o̞
もぐりこむ	m o̞ ɡ ɯ̟ᵝ ɾʲ i k o̞ m ɯ̟ᵝ
コンピュータリゼーション	k õ̞ m pʲ ɨᵝː t a̠ ɾʲ i z e̞ː ɕ õ̞ ɴ
チャリオット	t͡ɕ a̠ ɾʲ i o̞ t̚ t o̞
ファクシミリ	ɸ a̠ k ɯ̟ᵝ ɕ i mʲ i ɾʲ i
おうりょう	o̞ː ɾʲ o̞ː
スペル	s ɨ̥ᵝ p e̞ ɾ ɯ̟ᵝ
おおおおじおじ	oː oː o d͡ʑ i o d͡ʑ i
だけ	d a̠ k e̞
じんにん	d͡ʑ ĩ ɲ̟ ɲ̟ ĩ ɴ
あいけん	a̠ i k ẽ̞ ɴ
ごいしゅう	ɡ o̞ i ɕ ɨᵝː
ジュ	d͡ʑ ɨᵝ
メルヘン	m e̞ ɾ ɯ̟ᵝ h ẽ̞ ɴ
かくちょう	k a̠ k ɯ̟ᵝ t͡ɕ o̞ː
しゅうせい	ɕ ɨᵝː s e̞ː
インセスト	ĩ ɰ̃ s e̞ s ɨ̥ᵝ t o̞
もんじん	m õ̞ ɲ̟ d͡ʑ ĩ ɴ
せいすう	s e̞ː s ɨᵝː
ながめる	n a̠ ɡ a̠ m e̞ ɾ ɯ̟ᵝ
メリスビル	m e̞ ɾʲ i s ɨᵝ bʲ i ɾ ɯ̟ᵝ
タブロイド	t a̠ b ɯ̟ᵝ ɾ o̞ i d o̞
せいかくせい	s e̞ː k a̠ k ɯ̟ᵝ s e̞ː
アメリカオシ	a̠ m e̞ ɾʲ i k a̠ o̞ ɕ i
いっしょうけんめい	i ɕː o̞ː k ẽ̞ mː e̞ː
がいちょう	ɡ a̠ i t͡ɕ o̞ː
じゆうせき	d͡ʑ i j ɯ̟ᵝː s e̞ kʲ i
だいこんやくしゃ	d a̠ i k õ̞ ɰ̃ j a̠ k ɯ̟̊ᵝ ɕ a̠
かこい	k a̠ k o̞ i
よあつ	j o̞ a̠ t͡s ɨᵝ
けなげ	k e̞ n a̠ ɡ e̞
きょうぎ	kʲ o̞ː ɡʲ i
ちょうはつ	t͡ɕ o̞ː h a̠ t͡s ɨᵝ
ひゃっかてん	ç a̠ k̚ k a̠ t ẽ̞ ɴ
ゆうぎ	j ɯ̟ᵝː ɡʲ i
かちん	k a̠ t͡ɕ ĩ ɴ
いくばく	i k ɯ̟ᵝ b a̠ k ɯ̟ᵝ
せいや	s e̞ː j a̠
くちずさむ	k ɯ̟ᵝ t͡ɕ i z ɨᵝ s a̠ m ɯ̟ᵝ
キエフ	kʲ i e̞ ɸ ɯ̟ᵝ
たんし	t ã̠ ɰ̃ ɕ i
のどちんこ	n o̞ d o̞ t͡ɕ ĩ ŋ k o̞
のどか	n o̞ d o̞ k a̠
ぬるぽ	n ɯ̟ᵝ ɾ ɯ̟ᵝ p o̞
じどうしょうじゅう	d͡ʑ i d o̞ː ɕ o̞ː ʑ ɨᵝː
かべ	k a̠ b e̞
しだん	ɕ i d ã̠ ɴ
なき	n a̠ kʲ i
たたきおとす	t a̠ t a̠ kʲ i o̞ t o̞ s ɨᵝ
ほそい	h o̞ s o̞ i
こごえ	k o̞ ɡ o̞ e̞
グルタミン	ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ t a̠ mʲ ĩ ɴ
じぼ	d͡ʑ i b o̞
クラブハウス	k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ h a̠ ɯ̟ᵝ s ɨᵝ
かんもく	k ã̠ mː o̞ k ɯ̟ᵝ
おどろく	o̞ d o̞ ɾ o̞ k ɯ̟ᵝ
うりにつめありつめにつめなし	ɯ̟ᵝ ɾʲ i ɲ̟ i t͡s ɨᵝ m e̞ a̠ ɾʲ i t͡s ɨᵝ m e̞ ɲ̟ i t͡s ɨᵝ m e̞ n a̠ ɕ i
さくらちる	s a̠ k ɯ̟ᵝ ɾ a̠ t͡ɕ i ɾ ɯ̟ᵝ
ごしゅうしょうさまです	ɡ o̞ ɕ ɨᵝː ɕ o̞ː s a̠ m a̠ d e̞ s ɨᵝ
まんざい	m ã̠ n d͡z a̠ i
ぎょるいがくしゃ	ɡ j o̞ ɽ ɯᵝ i ŋ ä k ɯ̥ᵝ ɕʲ ä
ばんこ	b ã̠ ŋ k o̞
さくらそう	s a̠ k ɯ̟ᵝ ɾ a̠ s o̞ː
りそう	ɾʲ i s o̞ː
ろくじゅうろく	ɾ o̞ k ɯ̟ᵝ ʑ ɨᵝː ɾ o̞ k ɯ̟ᵝ
うめきごえ	ɯ̟ᵝ m e̞ kʲ i ɡ o̞ e̞
しょよう	ɕ o̞ j o̞ː
ばんねん	b ã̠ nː ẽ̞ ɴ
センチ	s ẽ̞ ɲ̟ t͡ɕ i
きゅうやく	kʲ ɨᵝː j a̠ k ɯ̟ᵝ
じょうれん	d͡ʑ o̞ː ɾ ẽ̞ ɴ
あらさき	a̠ ɾ a̠ s a̠ kʲ i
しんしゃ	ɕ ĩ ɰ̃ ɕ a̠
にち	ɲ̟ i t͡ɕ i
せきちゅう	s e̞ kʲ i t͡ɕ ɨᵝː
いじばる	i ʑ i b a̠ ɾ ɯ̟ᵝ
りそうぞう	ɾʲ i s o̞ː z o̞ː
かわ	k a̠ ɰᵝ a̠
にんしょう	ɲ̟ ĩ ɰ̃ ɕ o̞ː
ぐげん	ɡ ɯ̟ᵝ ɡ ẽ̞ ɴ
ひとじらみ	ç i̥ t o̞ ʑ i ɾ a̠ mʲ i
かんししゃ	k ã̠ ɰ̃ ɕ i ɕ a̠
にゅうさん	ɲ̟ ɯ̟ᵝː s ã̠ ɴ
ふん	ɸ ɯ̟̃ᵝ ɴ
クラブサンドイッチ	k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ s ã̠ n d o̞ i t̚ t͡ɕ i
しょうしん	ɕ o̞ː ɕ ĩ ɴ
たまご	t a̠ m a̠ ɡ o̞
ひぶた	ç i b ɯ̟ᵝ t a̠
じゃこうじか	d͡ʑ a̠ k o̞ː ʑ i k a̠
ごう	ɡ o̞ː
ぼつこせい	b o̞ t͡s ɨᵝ k o̞ s e̞ː
もうしでる	m o̞ː ɕ i d e̞ ɾ ɯ̟ᵝ
ぎっしゃ	ɡʲ i ɕː a̠
せぼね	s e̞ b o̞ n e̞
せいへん	s e̞ː h ẽ̞ ɴ
とうふ	t o̞ː ɸ ɯ̟ᵝ
ゆうげきしゅ	j ɯ̟ᵝː ɡ e̞ kʲ i̥ ɕ ɨᵝ
きげん	kʲ i ɡ ẽ̞ ɴ
はなかんらん	h a̠ n a̠ k ã̠ n ɾ ã̠ ɴ
はつおん	h a̠ t͡s ɨᵝ õ̞ ɴ
どぶねずみ	d o̞ b ɯ̟ᵝ n e̞ z ɨᵝ mʲ i
だいすうかんすう	d a̠ i s ɨᵝː k ã̠ ɰ̃ s ɨᵝː
げつよう	ɡ e̞ t͡s ɨᵝ j o̞ː
いしだたみ	i ɕ i d a̠ t a̠ mʲ i
やきんがく	j a̠ kʲ ĩ ŋ ɡ a̠ k ɯ̟ᵝ
ほひつ	h o̞ ç i t͡s ɨᵝ
こどもたち	k o̞ d o̞ m o̞ t a̠ t͡ɕ i
しゃく	ɕ a̠ k ɯ̟ᵝ
ほごしゃ	h o̞ ɡ o̞ ɕ a̠
きょうみぶかい	kʲ o̞ː mʲ i b ɯ̟ᵝ k a̠ i
いけにえ	i k e̞ ɲ̟ i e̞
かね	k a̠ n e̞
あめがした	a̠ m e̞ ŋ a̠ ɕ i̥ t a̠
えんぴつけずり	ẽ̞ m pʲ i̥ t͡s ɨᵝ k e̞ z ɨᵝ ɾʲ i
あけち	m e̞ː t͡ɕ i
かんざし	k ã̠ n d͡z a̠ ɕ i
びじゃく	bʲ i ʑ a̠ k ɯ̟ᵝ
あさって	a̠ s a̠ t̚ t e̞
たゆたい	t a̠ j ɯ̟ᵝ t a̠ i
すきこそもののじょうずなれ	s ɨᵝ kʲ i k o̞ s o̞ m o̞ n o̞ n o̞ d͡ʑ o̞ː z ɨᵝ n a̠ ɾ e̞
くうきせいじょうき	k ɯ̟ᵝː kʲ i s e̞ː ʑ o̞ː kʲ i
はしりたかとび	h a̠ ɕ i ɾʲ i t a̠ k a̠ t o̞ bʲ i
オランダ	o̞ ɾ ã̠ n d a̠
ローレンシウム	ɾ o̞ː ɾ ẽ̞ ɰ̃ ɕ i ɯ̟ᵝ m ɯ̟ᵝ
ウエア	ɯ̟ᵝ e̞ a̠
ぜったいかく	d͡z e̞ t̚ t a̠ i k a̠ k ɯ̟ᵝ
チーム	t͡ɕ iː m ɯ̟ᵝ
しさん	ɕ i s ã̠ ɴ
もよおしもの	m o̞ j o̞ː ɕ i m o̞ n o̞
よみきり	j o̞ mʲ i kʲ i ɾʲ i
かんじゃ	k ã̠ ɲ̟ d͡ʑ a̠
フニャチン	ɸ ɯ̟ᵝ ɲ̟ a̠ t͡ɕ ĩ ɴ
まいまい	m a̠ i m a̠ i
へんしつしゃ	h ẽ̞ ɰ̃ ɕ i t͡s ɨᵝ ɕ a̠
かっせいたん	k a̠ sː e̞ː t ã̠ ɴ
レントゲニウム	ɾ ẽ̞ n t o̞ ɡ e̞ ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
キモカワイイ	kʲ i m o̞ k a̠ ɰᵝ a̠ iː
ねん	n ẽ̞ ɴ
ブイアール	b ɯ̟ᵝ i a̠ː ɾ ɯ̟ᵝ
はくち	h a̠ k ɯ̟ᵝ t͡ɕ i
ハンドミキサー	h ã̠ n d o̞ mʲ i kʲ i s a̠ː
こうしん	k o̞ː ɕ ĩ ɴ
にっし	ɲ̟ i ɕː i
なぜなら	n a̠ z e̞ n a̠ ɾ a̠
てぇ	t e̞ː
どうおう	d o̞ː o̞ː
たてなが	t a̠ t e̞ n a̠ ɡ a̠
ぬかご	n ɯ̟ᵝ k a̠ ɡ o̞
はくがん	h a̠ k ɯ̟ᵝ ɡ ã̠ ɴ
ちゃくもく	t͡ɕ a̠ k ɯ̟ᵝ m o̞ k ɯ̟ᵝ
じんしゅさべつ	d͡ʑ ĩ ɰ̃ ɕ ɨᵝ s a̠ b e̞ t͡s ɨᵝ
ガスレンジ	ɡ a̠ s ɨᵝ ɾ ẽ̞ ɲ̟ d͡ʑ i
カーナビ	k a̠ː n a̠ bʲ i
ひどけい	ç i d o̞ k e̞ː
いっしょくそくはつ	i ɕː o̞ k ɯ̟̊ᵝ s o̞ k ɯ̟̊ᵝ h a̠ t͡s ɨᵝ
くすりゆび	k ɯ̟̊ᵝ s ɨᵝ ɾʲ i j ɯ̟ᵝ bʲ i
すいがら	s ɨᵝ i ɡ a̠ ɾ a̠
ブックマーク	b ɯ̟ᵝ k̚ k ɯ̟ᵝ m a̠ː k ɯ̟ᵝ
よろいぐさ	j o̞ ɾ o̞ i ɡ ɯ̟ᵝ s a̠
けんがい	k ẽ̞ ŋ ɡ a̠ i
みまう	mʲ i m a̠ ɯ̟ᵝ
とぐら	t o̞ ɡ ɯ̟ᵝ ɾ a̠
ふさく	ɸ ɯ̟ᵝ s a̠ k ɯ̟ᵝ
たじ	t a̠ ʑ i
