らち	ɾ a t͡ɕ i
うしごや	ɯ ɕ i ɡ o j a
さぎょうへんかくかつよう	s a ɡʲ o
ちいるい	t͡ɕ i i ɾ ɯ i
ぼつ	b o t͡s ɨ
だ	d a
おんどく	õ n d o k ɯ
つきそい	t͡s ɨ kʲ i s o i
うんげい	ɯ ŋ ɡ e
こうりょ	k o ɾʲ o
インフル	ĩ ɰ ɸ ɯ ɾ ɯ
しつもん	ɕ i t͡s ɨ m õ ɴ
ながさ	n a ɡ a s a
マグ	m a ɡ ɯ
プエルトリコ	p ɯ e ɾ ɯ t o ɾʲ i k o
こがん	k o ɡ ã ɴ
かがみ	k a ɡ a mʲ i
やし	j a ɕ i
じそく	d͡ʑ i s o k ɯ
せいたんさい	s e t ã ɰ s a i
すする	s ɨ s ɨ ɾ ɯ
タッピング	t a p̚ʲ pʲ ĩ ŋ ɡ ɯ
かたぎ	k a t a ɡʲ i
スーダン	s ɨ d ã ɴ
はなふだ	h a n a ɸ ɯ d a
みっかん	mʲ i k̚ k ã ɴ
ぼうじつ	b o ʑ i t͡s ɨ
ほととぎす	h o t o t o ɡʲ i s ɨ
フリータイム	ɸ ɯ ɾʲ i t a i m ɯ
みをゆだねる	mʲ i o j ɯ d a n e ɾ ɯ
パント	p ã n t o
シャンハイ	ɕ ã ɰ h a i
もくひょう	m o k ɯ ç o
おたねにんじん	o t a n e ɲ ĩ ɲ d͡ʑ ĩ ɴ
きょりゅう	kʲ o ɾʲ ɨ
やまぐち	j a m a ɡ ɯ t͡ɕ i
しゃしょく	ɕ a ɕ o k ɯ
せつじ	s e t͡s ɨ ʑ i
まどう	m a d o ɯ
ぼうろう	b o ɾ o
スロベニア	s ɨ ɾ o b e ɲ i a
こうたけ	k o t a k e
いじわる	i ʑ i ɰ a ɾ ɯ
メーリーランド	m e ɾʲ i ɾ ã n d o
だんまつま	d ã m a t͡s ɨ m a
どうちゅう	d o t͡ɕ ɨ
だんねん	d ã n ẽ ɴ
バイ	b a i
ハルツーム	h a ɾ ɯ t͡s ɨ m ɯ
なん	n ã ɴ
ぶんかつ	b ɯ ŋ k a t͡s ɨ
ニルバーナ	ɲ i ɾ ɯ b a n a
へいかい	h e k a i
だえん	d a ẽ ɴ
とうねん	t o n ẽ ɴ
みんぞくし	mʲ ĩ n d͡z o k ɯ ɕ i
そうたいてき	s o t a i t e kʲ i
こむぎこ	k o m ɯ ɡʲ i k o
にゅうがく	ɲ ɯ ɡ a k ɯ
じゅうこう	d͡ʑ ɨ k o
どくりつ	d o k ɯ ɾʲ i t͡s ɨ
パルテノン	p a ɾ ɯ t e n õ ɴ
もうきん	m o kʲ ĩ ɴ
ス	s ɨ
しんめ	ɕ ĩ m e
ざんてい	d͡z ã n t e
エンタブレチャー	ẽ n t a b ɯ ɾ e t͡ɕ a
きゅ	kʲ ɨ
じしょう	d͡ʑ i ɕ o
エムジェーケー	e m ɯ ʑ e k e
こぜに	k o z e ɲ i
たわむれる	t a ɰ a m ɯ ɾ e ɾ ɯ
メランコリア	m e ɾ ã ŋ k o ɾʲ i a
はなやさい	h a n a j a s a i
ホモビ	h o m o bʲ i
あがる	a ɡ a ɾ ɯ
ろくろくび	r o k u r o k u b i
そうしゅけん	s o ɕ ɨ k ẽ ɴ
しゃぶる	ɕ a b ɯ ɾ ɯ
クエーカー	k ɯ e k a
のりこ	n o ɾʲ i k o
ライフ	ɾ a i ɸ ɯ
ちゅうしょうだいすうがく	t͡ɕ ɨ ɕ o d a i s ɨ ɡ a k ɯ
イェ	j e
かたこり	k a t a k o ɾʲ i
ろかい	ɾ o k a i
システムエンジニア	ɕ i s ɨ t e m ɯ ẽ ɲ d͡ʑ i ɲ i a
レセプション	ɾ e s e p ɯ ɕ õ ɴ
じんじゃ	d͡ʑ ĩ ɲ d͡ʑ a
アンプ	ã m p ɯ
むしあつい	m ɯ ɕ i a t͡s ɨ i
ベネチア	b e n e t͡ɕ i a
ぶっしつかい	b ɯ ɕ i t͡s ɨ k a i
モーニングセット	m o ɲ ĩ ŋ ɡ ɯ s e t̚ t o
かやつりぐさ	k a j a t͡s ɨ ɾʲ i ɡ ɯ s a
てんきあめ	t ẽ ŋʲ kʲ i a m e
はだん	h a d ã ɴ
いきのびる	i kʲ i n o bʲ i ɾ ɯ
きごうがく	kʲ i ɡ o ɡ a k ɯ
きゃっか	kʲ a k̚ k a
あわただしい	a ɰ a t a d a ɕ i i
ながわずらい	n a ɡ a ɰ a z ɨ ɾ a i
ほうろく	h o ɾ o k ɯ
ウズベキスタン	ɯ z ɨ b e kʲ i s ɨ t ã ɴ
かけす	k a k e s ɨ
まっかんがに	m a k̚ k ã ŋ ɡ a ɲ i
スケール	s ɨ k e ɾ ɯ
まさじ	m a s a ʑ i
かぐらぶえ	k a ɡ ɯ ɾ a b ɯ e
タリウム	t a ɾʲ i ɯ m ɯ
うがつ	ɯ ɡ a t͡s ɨ
みんしゅ	m i ɴ ɕʲ ɯ
ゆめみ	j ɯ m e mʲ i
ビー	bʲ i
かいじょ	k a i ʑ o
ニョ	ɲ o
すわ	s ɨ ɰ a
そくなん	s o k ɯ n ã ɴ
ふたなり	ɸ ɯ t a n a ɾʲ i
ちょくせつわほう	t͡ɕ o k ɯ s e t͡s ɨ ɰ a h o
わっぱ	ɰ a p̚ p a
かな	k a n a
さけぶ	s a k e b ɯ
ふとい	ɸ ɯ t o i
しながどり	ɕ i n a ɡ a d o ɾʲ i
ゔぁ	b a
きどうしゃ	kʲ i d o ɕ a
スルホキシド	s ɨ ɾ ɯ h o kʲ i ɕ i d o
こる	k o ɾ ɯ
おいでになる	o i d e ɲ i n a ɾ ɯ
とりょう	t o ɾʲ o
ロケット	ɾ o k e t̚ t o
ぶどうきゅうきん	b ɯ d o kʲ ɨ kʲ ĩ ɴ
みちすじ	mʲ i t͡ɕ i s ɨ ʑ i
めでたしめでたし	m e d e t a ɕ i m e d e t a ɕ i
あいぞうばん	a i z o b ã ɴ
ベビーブーマー	b e bʲ i b ɯ m a
おしや	o ɕ i j a
きゅうでん	kʲ ɨ d ẽ ɴ
カ	k a
いずれにしろ	i z ɨ ɾ e ɲ i ɕ i ɾ o
ほつれる	h o t͡s ɨ ɾ e ɾ ɯ
はんだくおん	h ã n d a k ɯ õ ɴ
ふかち	ɸ ɯ k a t͡ɕ i
みろく	mʲ i ɾ o k ɯ
エストニア	e s ɨ t o ɲ i a
さかた	s a k a t a
ちょうこくぐざ	t͡ɕ o k o k ɯ ɡ ɯ z a
ワーラー	ɰ a ɾ a
エプシロン	e p ɯ ɕ i ɾ õ ɴ
でかい	d e k a i
ひょうだい	ç o d a i
かつぼう	k a t͡s ɨ b o
ひとづま	ç i t o z ɨ m a
みすえる	mʲ i s ɨ e ɾ ɯ
にじ	ɲ i ʑ i
きょり	kʲ o ɾʲ i
ちゃら	t͡ɕ a ɾ a
どうじん	d o ʑ ĩ ɴ
ルーシ	ɾ ɯ ɕ i
ニッケル	ɲ i k̚ k e ɾ ɯ
まきびし	m a k i b i ɕ i
モロッコ	m o ɾ o k̚ k o
ほじょどうし	h o ʑ o d o ɕ i
おうし	o ɯ ɕ i
れんさはんのう	ɾ ẽ ɰ s a h ã n o
こうぶつ	k o b ɯ t͡s ɨ
フォース	ɸ o s ɨ
きりふだ	kʲ i ɾʲ i ɸ ɯ d a
ふくごうおせん	ɸ ɯ k ɯ ɡ o o s ẽ ɴ
りゅうせいぐん	ɾʲ ɨ s e ɡ ɯ ɴ
ほたるび	h o t a ɾ ɯ bʲ i
けんぶん	k ẽ m b ɯ ɴ
びょうげんたい	bʲ o ɡ ẽ n t a i
こくれん	k o k ɯ ɾ ẽ ɴ
かんばんむすめ	k ã m b ã m m ɯ s ɨ m e
ちゃんぽん	t͡ɕ ã m p õ ɴ
こうえき	k o e kʲ i
カルタ	k a ɾ ɯ t a
あぶない	a b ɯ n a i
いちにちもはやい	i t͡ɕ i ɲ i t͡ɕ i m o h a j a i
チャンネル	t͡ɕ ã n e ɾ ɯ
なたね	n a t a n e
アイオワ	a i o ɰ a
オーボー	o b o
しゃっけい	ɕ a k̚ k e
おいてけぼり	o i t e k e b o ɾʲ i
あたまごなし	a t a m a ɡ o n a ɕ i
ブラ	b ɯ ɾ a
クリスマスイブ	k ɯ ɾʲ i s ɨ m a s ɨ i b ɯ
こうがん	k o ɡ ã ɴ
おおあめ	o a m e
いりこむ	i ɾʲ i k o m ɯ
つくろう	t͡s ɨ k ɯ ɾ o ɯ
グリンプス	ɡ ɯ ɾʲ ĩ m p ɯ s ɨ
ばしょう	b a ɕ o
すいしんき	s ɨ i ɕ ĩ ŋʲ kʲ i
せきたんさん	s e kʲ i t ã ɰ s ã ɴ
わんぱくぼうず	ɰ ã m p a k ɯ b o z ɨ
しょうげきは	ɕ o ɡ e kʲ i ɰ a
カルボニル	k a ɾ ɯ b o ɲ i ɾ ɯ
どくそうせい	d o k ɯ s o s e
ティーシャツ	tʲ i ɕ a t͡s ɨ
しょうそ	ɕ o s o
げんこう	ɡ ẽ ŋ k o
ひずむ	ç i z ɨ m ɯ
キムチ	kʲ i m ɯ t͡ɕ i
がいげんご	ɡ a i ɡ ẽ ŋ ɡ o
ささる	s a s a ɾ ɯ
ペパロニ	p e p a ɾ o ɲ i
セカント	s e k ã n t o
しめ	ɕ i m e
くうし	k ɯ ɕ i
のうしょう	n o ɕ o
ビョ	bʲ o
しし	ɕ i ɕ i
たんじゅう	t ã ɲ d͡ʑ ɨ
デリバリー	d e ɾʲ i b a ɾʲ i
はくせきれい	h a k ɯ s e kʲ i ɾ e
プロテスタント	p ɯ ɾ o t e s ɨ t ã n t o
はじゃけんしょう	h a ʑ a k ẽ ɰ ɕ o
ひんそう	ç ĩ ɰ s o
そそっかしい	s o s o k̚ k a ɕ i i
すすむ	s ɨ s ɨ m ɯ
じょうおう	d͡ʑ o o
でんか	d ẽ ŋ k a
サトシ	s a t o ɕ i
もくぎょ	m o k ɯ ɡʲ o
スクリーンテスト	s ɨ k ɯ ɾʲ ĩ n t e s ɨ t o
みっせつ	mʲ i s e t͡s ɨ
はらばう	h a ɾ a b a ɯ
ヘクタール	h e k ɯ t a ɾ ɯ
うたがい	ɯ t a ɡ a i
ほんま	h õ m a
へんめい	h ẽ m e
ウ	ɯ
さいきょういく	s a i kʲ o i k ɯ
ちゅうしゃき	t͡ɕ ɨ ɕ a kʲ i
ごうがしゃ	ɡ o ɡ a ɕ a
りえき	ɾʲ i e kʲ i
まほうつかい	m a h o t͡s ɨ k a i
しゅうきゅう	ɕ ɨ kʲ ɨ
じじょう	d͡ʑ i ʑ o
ふじん	ɸ ɯ ʑ ĩ ɴ
おうごんじだい	o ɡ õ ɲ d͡ʑ i d a i
ソック	s o k̚ k ɯ
ドドマ	d o d o m a
ちょうしんるこつ	t͡ɕ o ɕ ĩ n ɾ ɯ k o t͡s ɨ
じっちゅうはっく	d͡ʑ i t̚ t͡ɕ ɨ h a k̚ k ɯ
やに	j a ɲ i
けっかく	k e k̚ k a k ɯ
けんもん	k ẽ m õ ɴ
せいそうけん	s e s o k ẽ ɴ
わかな	ɰ a k a n a
あつかましい	a t͡s ɨ k a m a ɕ i i
じっそう	d͡ʑ i s o
てをあげる	t e o a ɡ e ɾ ɯ
じぐも	d͡ʑ i ɡ ɯ m o
はきけ	h a kʲ i k e
ショーウィンドウ	ɕ o ɰ ĩ n d o
るいせき	ɾ ɯ i s e kʲ i
つかまる	t͡s ɨ k a m a ɾ ɯ
わるもの	ɰ a ɾ ɯ m o n o
でか	d e k a
しんしゅ	ɕ ĩ ɰ ɕ ɨ
せんしゅつこうり	s ẽ ɰ ɕ ɨ t͡s ɨ k o ɾʲ i
クール	k ɯ ɾ ɯ
もよおす	m o j o s ɨ
はやめる	h a j a m e ɾ ɯ
プルオーバー	p ɯ ɾ ɯ o b a
はいいろぎつね	h a i i ɾ o ɡʲ i t͡s ɨ n e
きょきん	kʲ o kʲ ĩ ɴ
どうたいしりょく	d o t a i ɕ i ɾʲ o k ɯ
にんじゃとう	ɲ ĩ ɲ d͡ʑ a t o
おそろしい	o s o ɾ o ɕ i i
エレクトリック・ギター	e ɾ e k ɯ t o ɾʲ i k̚ k ɯ ɡʲ i t a
ピッチャー	pʲ i t̚ t͡ɕ a
あちらこちら	a t͡ɕ i ɾ a k o t͡ɕ i ɾ a
ネック	n e k̚ k ɯ
できあい	d e kʲ i a i
えっきょう	e k̚ʲ kʲ o
ぜひ	d͡z e ç i
くぎる	k ɯ ɡʲ i ɾ ɯ
キャノン	kʲ a n õ ɴ
こちょう	k o t͡ɕ o
ざゆうのめい	d͡z a j ɯ n o m e
しんとう	ɕ ĩ n t o
たかまつ	t a k a m a t͡s ɨ
いけいれん	i k e ɾ ẽ ɴ
かけぬける	k a k e n ɯ k e ɾ ɯ
そみつ	s o mʲ i t͡s ɨ
りょうようしょ	ɾʲ o j o ɕ o
ぎんが	ɡʲ ĩ ŋ ɡ a
よどがわ	j o d o ɡ a ɰ a
けっきゅう	k e k̚ʲ kʲ ɨ
かけこみ	k a k e k o mʲ i
あおもり	a o m o ɾʲ i
せいもんおん	s e m õ ɰ õ ɴ
たっぷり	t a p̚ p ɯ ɾʲ i
じじつ	d͡ʑ i ʑ i t͡s ɨ
ますいざい	m a s ɨ i z a i
さめる	s a m e ɾ ɯ
ナポリ	n a p o ɾʲ i
むらかみ	m ɯ ɾ a k a mʲ i
グェ	ɡ ɰ e
かんまん	k ã m ã ɴ
ふゆうぶつ	ɸ ɯ j ɯ b ɯ t͡s ɨ
ふっかつ	ɸ ɯ k̚ k a t͡s ɨ
とおざかる	t o z a k a ɾ ɯ
しゅよう	ɕ ɨ j o
おかみ	o k a mʲ i
ひょうじゅんにゅうりょく	ç o ʑ ɨ ɲ ɲ ɯ ɾʲ o k ɯ
なにひとつ	n a ɲ i ç i t o t͡s ɨ
びりょこつ	bʲ i ɾʲ o k o t͡s ɨ
かさ	k a s a
ハードル	h a d o ɾ ɯ
まよわす	m a j o ɰ a s ɨ
こび	k o bʲ i
マカオ	m a k a o
さんけっしょう	s ã ŋ k e ɕ o
めいせきむ	m e s e kʲ i m ɯ
はやす	h a j a s ɨ
けんじょうご	k ẽ ɲ d͡ʑ o ɡ o
はんぎご	h ã ŋʲ ɡʲ i ɡ o
とうせき	t o s e kʲ i
バングル	b ã ŋ ɡ ɯ ɾ ɯ
おりあう	o ɾʲ i a ɯ
げんしてき	ɡ ẽ ɰ ɕ i t e kʲ i
しはらい	ɕ i h a ɾ a i
いろけ	i ɾ o k e
トラブルシューター	t o ɾ a b ɯ ɾ ɯ ɕ ɨ t a
キャンデー	kʲ ã n d e
ぞうに	d͡z o ɲ i
ふうりんかざん	ɸ ɯ ɾʲ ĩ ŋ k a z ã ɴ
こがも	k o ɡ a m o
せんかい	s ẽ ŋ k a i
うぇ	ɰ e
どっこいどっこい	d o k̚ k o i d o k̚ k o i
ピーナツ	pʲ i n a t͡s ɨ
ようり	j o ɾʲ i
ちくかん	t͡ɕ i k ɯ k ã ɴ
りりく	ɾʲ i ɾʲ i k ɯ
しょくりょうひんてん	ɕ o k ɯ ɾʲ o ç ĩ n t ẽ ɴ
もりあげる	m o ɾʲ i a ɡ e ɾ ɯ
チンジャオロウスー	t͡ɕ ĩ ɲ d͡ʑ a o ɾ o s ɨ
チュニック	t͡ɕ ɨ ɲ i k̚ k ɯ
ぼうたかとび	b o t a k a t o bʲ i
アイアール	a i a ɾ ɯ
ハリウッド	h a ɾʲ i ɯ d̚ d o
プレゼンテーション	p ɯ ɾ e z ẽ n t e ɕ õ ɴ
せんたくばさみ	s ẽ n t a k ɯ b a s a mʲ i
いちまん	i t͡ɕ i m ã ɴ
こう	k o
いかが	i k a ɡ a
マナグア	m a n a ɡ ɯ a
いぬか	i n ɯ k a
あしのうら	a ɕ i n o ɯ ɾ a
あいぞめ	a i z o m e
アベノミクス	a b e n o mʲ i k ɯ s ɨ
のぞきあな	n o z o kʲ i a n a
フェナントリジン	ɸ e n ã n t o ɾʲ i ʑ ĩ ɴ
しつぎおうとう	ɕ i t͡s ɨ ɡʲ i o t o
やまいぬ	j a m a i n ɯ
ゆおけ	j ɯ o k e
こっそり	k o s o ɾʲ i
しゅっちょうじょ	ɕ ɨ t̚ t͡ɕ o ʑ o
とうひょうばこ	t o ç o b a k o
あらぬ	a ɾ a n ɯ
ひつじぐも	ç i t͡s ɨ ʑ i ɡ ɯ m o
わきざし	ɰ a kʲ i z a ɕ i
たえる	t a e ɾ ɯ
さえ	s a e
ゆりいす	j ɯ ɾʲ i i s ɨ
りょこう	ɾʲ o k o
しわ	ɕ i ɰ a
つうじょう	t͡s ɨ ʑ o
かみあわせる	k a mʲ i a ɰ a s e ɾ ɯ
ランジェリー	ɾ ã ɲ d͡ʑ e ɾʲ i
かみさま	k a mʲ i s a m a
カルパス	k a ɾ ɯ p a s ɨ
ウクレレ	ɯ k ɯ ɾ e ɾ e
しんぱいていし	ɕ ĩ m p a i t e ɕ i
じょしょう	d͡ʑ o ɕ o
ゆうでんたい	j ɯ d ẽ n t a i
ふくらむ	ɸ ɯ k ɯ ɾ a m ɯ
つかれ	t͡s ɨ k a ɾ e
ふゆうせいぶつ	ɸ ɯ j ɯ s e b ɯ t͡s ɨ
みぎひだり	mʲ i ɡʲ i ç i d a ɾʲ i
ふくよう	ɸ ɯ k ɯ j o
たうえ	t a ɯ e
スパナ	s ɨ p a n a
おたまじゃくし	o t a m a ʑ a k ɯ ɕ i
オカピ	o k a pʲ i
げんじゅう	ɡ ẽ ɲ d͡ʑ ɨ
もぐ	m o ɡ ɯ
ベビー	b e bʲ i
しゅばしこう	ɕ ɨ b a ɕ i k o
れいそく	ɾ e s o k ɯ
こうさ	k o s a
はばむ	h a b a m ɯ
じゅんい	d͡ʑ ɨ ɰ i
うせつ	ɯ s e t͡s ɨ
テレホンカード	t e ɾ e h õ ŋ k a d o
げんごろうぶな	ɡ ẽ ŋ ɡ o ɾ o b ɯ n a
だいおう	d a i o
うるおす	ɯ ɾ ɯ o s ɨ
までもない	m a d e m o n a i
ぜんと	d͡z ẽ n t o
あわてる	a ɰ a t e ɾ ɯ
じゅんき	d͡ʑ ɨ ŋʲ kʲ i
ランシング	ɾ ã ɰ ɕ ĩ ŋ ɡ ɯ
はんき	h ã ŋʲ kʲ i
つよまる	t͡s ɨ j o m a ɾ ɯ
さいこう	s a i k o
しんげん	ɕ ĩ ŋ ɡ ẽ ɴ
マネキン	m a n e kʲ ĩ ɴ
たどん	t a d õ ɴ
ひょ	ç o
あずまごと	a z ɨ m a ɡ o t o
ヴィーナス	bʲ i n a s ɨ
おれおれさぎ	o ɾ e o ɾ e s a ɡʲ i
テロリズム	t e ɾ o ɾʲ i z ɨ m ɯ
さいそく	s a i s o k ɯ
フレロビウム	ɸ ɯ ɾ e ɾ o bʲ i ɯ m ɯ
ペガサス	p e ɡ a s a s ɨ
カンボジア	k ã m b o ʑ i a
なんたいどうぶつ	n ã n t a i d o b ɯ t͡s ɨ
ちけいがく	t͡ɕ i k e ɡ a k ɯ
たいわんとら	t a i ɰ ã n t o ɾ a
かつぐ	k a t͡s ɨ ɡ ɯ
どうめい	d o m e
はいてい	h a i t e
ささえる	s a s a e ɾ ɯ
インストーラー	ĩ ɰ s ɨ t o ɾ a
レッツゴー	ɾ e t̚ t͡s ɨ ɡ o
ぼうめいきぼうしゃ	b o m e kʲ i b o ɕ a
ごかんせい	ɡ o k ã ɰ s e
ならじだい	n a ɾ a d͡ʑ i d a i
インスタントカメラ	ĩ ɰ s ɨ t ã n t o k a m e ɾ a
どの	d o n o
さなだむし	s a n a d a m ɯ ɕ i
らくさん	ɾ a k ɯ s ã ɴ
ソフィア	s o ɸʲ i a
かんしもう	k ã ɰ ɕ i m o
フラミンゴ	ɸ ɯ ɾ a mʲ ĩ ŋ ɡ o
もちいる	m o t͡ɕ i ɾ ɯ
いくねん	i k ɯ n ẽ ɴ
ひとすじなわでいかぬ	ç i t o s ɨ ʑ i n a ɰ a d e i k a n ɯ
きょっこう	kʲ o k̚ k o
つなみ	t͡s ɨ n a mʲ i
きんいろ	kʲ ĩ ɰ i ɾ o
くのいち	k ɯ n o i t͡ɕ i
にじゅうひてい	ɲ i ʑ ɨ ç i t e
マクロン	m a k ɯ ɾ õ ɴ
びしょく	bʲ i ɕ o k ɯ
でんき	d ẽ ŋʲ kʲ i
ひどい	ç i d o i
クールビズ	k ɯ ɾ ɯ bʲ i z ɨ
ガソリンスタンド	ɡ a s o ɾʲ ĩ ɰ s ɨ t ã n d o
せりあげる	s e ɾʲ i a ɡ e ɾ ɯ
びぼう	bʲ i b o
もちさる	m o t͡ɕ i s a ɾ ɯ
さきだつ	s a kʲ i d a t͡s ɨ
がんぼう	ɡ ã m b o
あれる	a ɾ e ɾ ɯ
えんきょりれんあい	ẽ ŋʲ kʲ o ɾʲ i ɾ ẽ ɰ a i
しょうずる	ɕ o z ɨ ɾ ɯ
あか	a k a
ようほうじょう	j o h o ʑ o
しんみん	ɕ ĩ mʲ ĩ ɴ
じてんしゃどう	d͡ʑ i t ẽ ɰ ɕ a d o
フレーム	ɸ ɯ ɾ e m ɯ
ゆうかい	j ɯ k a i
セザンヌ	s e z ã n ɯ
たいおんけい	t a i õ ŋ k e
あんこくたいりく	ã ŋ k o k ɯ t a i ɾʲ i k ɯ
あのう	a n o
タンジェント	t ã ɲ d͡ʑ ẽ n t o
ムーン	m ɯ ɴ
レーズン	ɾ e z ɨ ɴ
ウラン	ɯ ɾ ã ɴ
よなよな	j o n a j o n a
まるみえ	m a ɾ ɯ mʲ i e
フォトグラフ	ɸ o t o ɡ ɯ ɾ a ɸ ɯ
インディアナ	ĩ n dʲ i a n a
こごえしぬ	k o ɡ o e ɕ i n ɯ
トレモロ	t o ɾ e m o ɾ o
ほうしん	h o ɕ ĩ ɴ
こうそく	k o s o k ɯ
もくにん	m o k ɯ ɲ ĩ ɴ
あきす	a kʲ i s ɨ
ぜいこみ	d͡z e k o mʲ i
しゅうきひょう	ɕ ɨ kʲ i ç o
ぞくしょう	d͡z o k ɯ ɕ o
ぜんいん	d͡z ẽ ɰ ĩ ɴ
ゼビバイト	d͡z e bʲ i b a i t o
ティファナ	tʲ i ɸ a n a
だんけつ	d ã ŋ k e t͡s ɨ
えびでたいをつる	e bʲ i d e t a i o t͡s ɨ ɾ ɯ
とみ	t o mʲ i
ちっそく	t͡ɕ i s o k ɯ
こくみんぎかい	k o k ɯ mʲ ĩ ŋ ʲɡʲ i k a i
るいじ	ɾ ɯ i ʑ i
へいきしょう	h e kʲ i ɕ o
むすめごころ	m ɯ s ɨ m e ɡ o k o ɾ o
したたる	ɕ i t a t a ɾ ɯ
せいちょうそ	s e t͡ɕ o s o
なぐりがき	n a ɡ ɯ ɾʲ i ɡ a kʲ i
ホキ	h o kʲ i
おおるり	o ɾ ɯ ɾʲ i
いしこづめ	i ɕ i k o z ɨ m e
せいしゅん	s e ɕ ɨ ɴ
じょうし	d͡ʑ o ɕ i
もくたんし	m o k ɯ t ã ɰ ɕ i
クレーン	k ɯ ɾ ẽ ɴ
テーマパーク	t e m a p a k ɯ
ししょうかぶ	ɕ i ɕ o k a b ɯ
あいち	a i t͡ɕ i
なるとまき	n a ɾ ɯ t o m a kʲ i
つきあい	t͡s ɨ kʲ i a i
えんたん	ẽ n t ã ɴ
ウォンバット	ɰ õ m b a t̚ t o
めいよ	m e j o
いっぱん	i p̚ p ã ɴ
けんばん	k ẽ m b ã ɴ
すで	s ɨ d e
はださむい	h a d a s a m ɯ i
りけん	ɾʲ i k ẽ ɴ
りょくち	ɾʲ o k ɯ t͡ɕ i
トイレット	t o i ɾ e t̚ t o
もりあわせ	m o ɾʲ i a ɰ a s e
らっかさん	ɾ a k̚ k a s ã ɴ
しゅつがん	ɕʲ ɯ t͡s ɯ ɡ ã ɴ
そくとうこつ	s o k ɯ t o k o t͡s ɨ
ホットケーキ	h o t̚ t o k e kʲ i
サニタイザ	s a ɲ i t a i z a
きんしょもくろく	kʲ ĩ ɰ ɕ o m o k ɯ ɾ o k ɯ
ひとにぎり	ç i t o ɲ i ɡʲ i ɾʲ i
ふくそすう	ɸ ɯ k ɯ s o s ɨ
かすう	k a s ɨ
ナノテクノロジー	n a n o t e k ɯ n o ɾ o ʑ i
キラー	kʲ i ɾ a
きこなす	kʲ i k o n a s ɨ
つばさ	t͡s ɨ b a s a
じげ	d͡ʑ i ɡ e
きゅうてんちょっか	kʲ ɨ t ẽ ɲ t͡ɕ o k̚ k a
めぐる	m e ɡ ɯ ɾ ɯ
ゆうりょく	j ɯ ɾʲ o k ɯ
カラオケ	k a ɾ a o k e
こい	k o i
ていきゅうび	t e kʲ ɨ bʲ i
パーソナルコンピューター	p a s o n a ɾ ɯ k õ m pʲ ɨ t a
タウ	t a ɯ
チャツパ	t͡ɕ a t͡s ɨ p a
へんすう	ç o ɕ i kʲ i
タックスフリー	t a k̚ k ɯ s ɨ ɸ ɯ ɾʲ i
しのびがたな	ɕ i n o bʲ i ɡ a t a n a
じし	d͡ʑ i ɕ i
ふだん	ɸ ɯ d ã ɴ
とたん	t o t ã ɴ
いざなみ	i z a n a mʲ i
ろだな	ɾ o d a n a
おっかない	o k̚ k a n a i
ずっと	d͡z ɨ t̚ t o
ビール	bʲ i ɾ ɯ
フィアンセ	ɸʲ i ã ɰ s e
くちくかん	k ɯ t͡ɕ i k ɯ k ã ɴ
とくひょう	t o k ɯ ç o
バイラス	b a i ɾ a s ɨ
ニュースルーム	ɲ ɯ s ɨ ɾ ɯ m ɯ
いよく	i j o k ɯ
くじゃく	k ɯ ʑ a k ɯ
やすり	j a s ɨ ɾʲ i
ごうりてき	ɡ o ɾʲ i t e kʲ i
しきものるい	ɕ i kʲ i m o n o ɾ ɯ i
たくさん	t a k ɯ s ã ɴ
しゅうじ	ɕ ɨ ʑ i
パーセント	p a s ẽ n t o
おりかえす	o ɾʲ i k a e s ɨ
かんじる	k ã ɲ d͡ʑ i ɾ ɯ
どうぶつ	d o b ɯ t͡s ɨ
アンテナ	ã n t e n a
てんさい	t ẽ ɰ s a i
ウインチ	ɯ ĩ ɲ t͡ɕ i
ちゅうい	t͡ɕ ɨ i
キューバ	kʲ ɨ b a
しゃくおん	ɕ a k ɯ õ ɴ
せびろ	s e bʲ i ɾ o
かんり	k ã n ɾʲ i
でんしたばこ	d ẽ ɰ ɕ i t a b a k o
ごあく	ɡ o a k ɯ
けつぞく	k e t͡s ɨ z o k ɯ
ぎょ	ɡʲ o
パイプ	p a i p ɯ
にいがたけん	ɲ i ɡ a t a k ẽ ɴ
せいかつ	s e k a t͡s ɨ
あくりょう	a k ɯ ɾʲ o
カスラック	k a s ɨ ɾ a k̚ k ɯ
くらし	k ɯ ɾ a ɕ i
レジオンドヌール	ɾ e ʑ i õ n d o n ɯ ɾ ɯ
しゅうまい	ɕ ɨ m a i
ゆいぶつべんしょうほう	j ɯ i b ɯ t͡s ɨ b ẽ ɰ ɕ o h o
バタンッ	b a t ã n ʔ
じょうすいどう	d͡ʑ o s ɨ i d o
しゅうぶんてん	ɕ ɨ b ɯ n t ẽ ɴ
にこく	ɲ i k o k ɯ
ソースコード	s o s ɨ  k o d o
フェルミウム	ɸ e ɾ ɯ mʲ i ɯ m ɯ
ひゃくにんいっしゅ	ç a k ɯ ɲ ĩ ɰ i ɕ ɯ
ボソン	b o s õ ɴ
ひばち	ç i b a t͡ɕ i
やすめる	j a s ɨ m e ɾ ɯ
こうとうは	k o t o h a
ためらう	t a m e ɾ a ɯ
かきとる	k a kʲ i t o ɾ ɯ
キセノン	kʲ i s e n õ ɴ
かんぽどうぶつ	k ã m p o d o b ɯ t͡s ɨ
れんせんれんばい	ɾ ẽ ɰ s ẽ n ɾ ẽ m b a i
